type,words
reliable,"{'when': 2, 'did': 1, 'the': 1, 'declin': 1, 'of': 1, 'coal': 1, 'start': 3, 'it': 1, 'natur': 1, 'ga': 1, 'took': 1, 'off': 1, 'that': 1, 'to': 1, 'begin': 1, 'in': 1, 'presid': 1, 'georg': 1, 'w': 1, 'bush': 1, 'administr': 1}"
reliable,"{'hillari': 1, 'clinton': 1, 'agre': 1, 'with': 1, 'john': 1, 'mccain': 1, 'by': 1, 'vote': 1, 'to': 1, 'give': 1, 'georg': 1, 'bush': 1, 'the': 2, 'benefit': 1, 'of': 1, 'doubt': 1, 'on': 1, 'iran': 1}"
fake,"{'health': 1, 'care': 1, 'reform': 1, 'legisl': 1, 'is': 1, 'like': 1, 'to': 1, 'mandat': 1, 'free': 1, 'sex': 1, 'chang': 1, 'surgeri': 1}"
reliable,"{'the': 2, 'econom': 1, 'turnaround': 1, 'start': 1, 'at': 1, 'end': 1, 'of': 1, 'my': 1, 'term': 1}"
reliable,"{'the': 4, 'chicago': 1, 'bear': 1, 'have': 1, 'had': 1, 'more': 1, 'start': 1, 'quarterback': 1, 'in': 1, 'last': 2, '<number>': 1, 'year': 1, 'than': 1, 'total': 1, 'number': 1, 'of': 1, 'tenur': 1, 'uw': 1, 'faculti': 1, 'fire': 1, 'dure': 1, 'two': 1, 'decad': 1}"
fake,"{'jim': 1, 'dunnam': 1, 'ha': 1, 'not': 1, 'live': 1, 'in': 1, 'the': 1, 'district': 1, 'he': 1, 'repres': 1, 'for': 1, 'year': 1, 'now': 1}"
reliable,"{'im': 1, 'the': 2, 'onli': 1, 'person': 1, 'on': 1, 'thi': 1, 'stage': 1, 'who': 1, 'ha': 1, 'work': 1, 'activ': 1, 'just': 1, 'last': 1, 'year': 1, 'pass': 1, 'along': 1, 'with': 1, 'russ': 1, 'feingold': 1, 'some': 1, 'of': 1, 'toughest': 1, 'ethic': 1, 'reform': 1, 'sinc': 1, 'waterg': 1}"
reliable,"{'howev': 1, 'it': 1, 'took': 1, '<cur><number>': 1, 'million': 1, 'in': 1, 'oregon': 1, 'lotteri': 1, 'fund': 1, 'for': 1, 'the': 2, 'port': 1, 'of': 1, 'newport': 1, 'to': 1, 'eventu': 1, 'land': 1, 'new': 1, 'noaa': 1, 'marin': 1, 'oper': 1, 'centerpacif': 1}"
reliable,"{'say': 1, 'gop': 1, 'primari': 1, 'oppon': 1, 'glenn': 1, 'grothman': 1, 'and': 1, 'joe': 1, 'leibham': 1, 'cast': 1, 'a': 1, 'compromis': 1, 'vote': 1, 'that': 1, 'cost': 2, '<cur><number>': 1, 'million': 1, 'in': 1, 'higher': 1, 'electr': 1}"
reliable,"{'for': 1, 'the': 4, 'first': 1, 'time': 1, 'in': 1, 'histori': 1, 'share': 1, 'of': 1, 'nation': 1, 'popular': 1, 'vote': 2, 'margin': 2, 'is': 1, 'smaller': 1, 'than': 1, 'latino': 1}"
reliable,"{'sinc': 1, '<number>': 2, 'nearli': 1, 'million': 1, 'american': 1, 'have': 1, 'slip': 1, 'out': 1, 'of': 1, 'the': 1, 'middl': 1, 'class': 1, 'and': 1, 'into': 1, 'poverti': 1}"
fake,"{'when': 1, 'mitt': 1, 'romney': 1, 'wa': 1, 'governor': 1, 'of': 3, 'massachusett': 1, 'we': 2, 'didnt': 1, 'just': 1, 'slow': 1, 'the': 1, 'rate': 1, 'growth': 1, 'our': 1, 'govern': 1, 'actual': 1, 'cut': 1, 'it': 1}"
reliable,"{'the': 2, 'economi': 1, 'bled': 1, '<cur><number>': 1, 'billion': 1, 'due': 1, 'to': 1, 'govern': 1, 'shutdown': 1}"
fake,"{'most': 1, 'of': 1, 'the': 1, 'afford': 1, 'care': 1, 'act': 1, 'ha': 1, 'alreadi': 1, 'in': 1, 'some': 1, 'sens': 1, 'been': 1, 'waiv': 1, 'or': 1, 'otherwis': 1, 'suspend': 1}"
reliable,"{'in': 2, 'thi': 1, 'last': 1, 'elect': 1, 'novemb': 1, '<number>': 3, 'percent': 3, 'of': 3, 'the': 1, 'american': 1, 'peopl': 2, 'chose': 2, 'not': 2, 'to': 2, 'vote': 2, 'young': 1, 'and': 1, 'lowincom': 1, 'worker': 1}"
reliable,"{'mccain': 1, 'oppos': 1, 'a': 1, 'requir': 1, 'that': 1, 'the': 1, 'govern': 1, 'buy': 1, 'americanmad': 1, 'motorcycl': 1, 'and': 1, 'he': 1, 'said': 1, 'all': 1, 'buyamerican': 1, 'provis': 1, 'were': 1, 'quot': 1, 'disgrac': 1}"
