id,batch
34,1
35,6
36,6
37,1
38,3
39,2
40,4
41,3
52,4
73,7
89,1
102,5
103,5
104,1
105,4
106,9
107,5
108,2
120,5
138,4
149,2
150,8
151,3
152,6
173,10
174,9
175,6
176,2
177,7
178,3
192,3
193,8
194,5
195,5
196,9
197,7
198,8
210,2
245,7
246,1
247,1
248,9
249,5
250,4
255,7
256,7
257,10
258,3
259,3
260,2
261,2
262,1
263,3
337,7
352,4
362,8
363,5
364,8
365,5
366,7
367,9
389,10
398,3
399,6
400,9
446,10
447,1
448,9
449,3
450,1
451,5
452,6
453,2
471,1
483,8
493,5
495,7
496,5
497,9
513,4
514,10
515,4
516,2
517,10
518,5
519,2
520,6
521,5
535,9
574,2
575,6
576,3
577,6
578,9
579,4
592,8
593,10
594,3
595,6
596,2
597,2
598,1
599,10
600,8
616,1
617,2
618,10
619,1
635,8
636,6
637,7
638,9
639,1
640,8
641,2
642,10
643,6
653,2
663,6
685,4
686,5
687,8
688,9
689,5
690,6
723,10
724,8
725,5
726,1
727,10
728,7
729,7
730,2
769,3
784,7
853,8
855,1
856,10
857,4
858,4
859,7
860,9
861,4
907,6
917,2
918,1
919,4
920,2
921,9
922,4
923,1
947,10
969,6
970,3
971,8
972,2
973,6
974,2
975,6
1008,6
1028,9
1042,6
1051,2
1052,4
1053,2
1054,1
1055,9
1071,8
1072,1
1073,5
1074,7
1075,9
1076,3
1077,1
1078,2
1088,1
1102,3
1126,5
1133,5
1134,8
1135,2
1136,6
1137,5
1138,10
1156,10
1157,5
1158,6
1159,7
1160,8
1161,5
1162,2
1163,4
1164,6
1176,9
1216,2
1242,4
1243,4
1244,9
1245,1
1246,7
1247,8
1248,5
1249,4
1273,8
1274,7
1275,4
1276,7
1277,4
1278,7
1279,9
1291,10
1301,2
1302,4
1303,4
1375,7
1376,3
1379,4
1408,4
1410,2
1411,1
1412,2
1413,7
1414,4
1415,1
1416,8
1450,1
1451,1
1452,2
1453,7
1454,9
1455,2
1456,5
1457,3
1472,9
1473,4
1474,2
1475,4
1476,1
1477,10
1478,6
1479,2
1491,9
1492,7
1493,9
1495,5
1496,1
1497,9
1498,8
1523,6
1524,8
1525,8
1526,10
1527,8
1528,2
1529,3
1530,9
1546,2
1547,5
1548,8
1549,2
1550,10
1551,8
1552,4
1553,8
1567,2
1568,4
1569,8
1570,5
1571,3
1572,8
1573,1
1574,10
1586,9
1587,1
1588,2
1589,7
1590,4
1591,1
1592,6
1593,8
1633,5
1634,4
1635,6
1636,6
1655,3
1658,9
1662,9
1663,3
1664,7
1692,4
1696,4
1697,9
1698,5
1699,3
1706,9
1707,10
1708,2
1709,3
1722,4
1723,1
1727,10
1728,2
1729,6
1739,5
1762,8
1771,1
1772,4
1773,5
1774,3
1775,5
