,freq,fake,reliable,idf_weight,fakeness_score
do,"(620907, 1290668)","(203388, 1661948.963607073)","(417519, 1132473.6234506392)",1.5751846432293923,-0.22960210849806906
befor,"(880333, 1271840)","(480482, 2220662.3670809)","(399851, 867568.3633445293)",1.2260661855966726,-0.6526032731383358
just,"(671698, 1267944)","(221765, 1492955.9817895629)","(449933, 1172071.5107952831)",1.496557242649637,-0.13603910073471093
now,"(681672, 1252269)","(230571, 1498726.1962961757)","(451101, 1147259.1925070467)",1.4818174954640906,-0.15198994381507225
my,"(429811, 1244363)","(141694, 1572587.6195745582)","(288117, 1104513.9526443193)",1.9430196615422195,-0.20877601988397487
last,"(686192, 1196995)","(148306, 817188.2210420874)","(537886, 1358822.0326136465)",1.4752086369281618,0.31977897891581963
could,"(617497, 1150234)","(162559, 1071308.6017930028)","(454938, 1183862.3176006821)",1.580691736400318,0.05248268290087843
news,"(723754, 1145045)","(479344, 2311951.5786051834)","(244410, 647852.6395288747)",1.421914628942355,-0.8576314002944675
most,"(653154, 1141073)","(186309, 1182207.8404601195)","(466845, 1123546.3797881093)",1.5245530990065752,-0.026099562730605985
mani,"(621737, 1124784)","(178950, 1203755.776071241)","(442787, 1091135.9218458857)",1.573848783906474,-0.051560937562004416
onli,"(649129, 1118840)","(196703, 1279146.77477278)","(452426, 1050536.9282630475)",1.5307345612982255,-0.10837883833920292
year,"(580178, 1117263)","(133396, 887408.1168360184)","(446782, 1215198.93936433)",1.6430308893100893,0.18261831888369673
becaus,"(598890, 1097585)","(163915, 1123317.513172502)","(434975, 1086620.961233175)",1.611287954373501,-0.016884022097919726
sign,"(538306, 1089583)","(30098, 134880.43758816118)","(508208, 1496360.0541843663)",1.7179385364090387,0.9999173477115921
how,"(573088, 1075956)","(195221, 1361342.208562454)","(377867, 954359.4255332794)",1.655326538389795,-0.21004938672580076
even,"(584804, 1024435)","(174906, 1131832.2612611465)","(409898, 978675.4689342058)",1.635089107609656,-0.0780876749959013
him,"(447384, 1023924)","(94331, 724101.6747207907)","(353053, 1151671.475556866)",1.9029480439661999,0.2869519666899869
through,"(499976, 1010178)","(139468, 811130.1652085787)","(360508, 1094987.7565315876)",1.7918054682859956,0.17321245663313412
may,"(557799, 993867)","(166024, 1185026.0078699617)","(391775, 912418.493246537)",1.6823670906641008,-0.14828588433717116
newslett,"(479401, 971744)","(7974, 39330.50502738237)","(471427, 1369024.1893487487)",1.8338280716912143,0.999999999999996
these,"(502473, 937901)","(197701, 1481509.268557187)","(304772, 706281.8771233123)",1.7868236683590226,-0.4996268844144801
those,"(542377, 933261)","(160796, 1071693.505892922)","(381581, 874278.0568640507)",1.710404390474903,-0.11242469918508413
where,"(555051, 922923)","(150362, 870914.139406443)","(404689, 945082.7929414652)",1.6873057627974655,0.04255520535430901
world,"(469114, 895166)","(157769, 1207337.0576965748)","(311345, 762157.0103408183)",1.8555196245708927,-0.2840230347051277
then,"(520107, 871162)","(167044, 1011544.7095481778)","(353063, 811348.119429526)",1.7523310834094652,-0.12275064846440786
think,"(581397, 867472)","(317064, 1456095.5569860088)","(264333, 616672.8862640894)",1.6409320177838758,-0.5919132903427515
presid,"(429668, 861055)","(101107, 766119.8144632601)","(328561, 901504.7239575047)",1.9433524205002113,0.0881283088144682
ani,"(513605, 857481)","(177824, 1158574.7287250885)","(335781, 729191.808343527)",1.7649111311527237,-0.2862014225667603
make,"(535845, 855176)","(172812, 996168.6275044542)","(363033, 795102.2472564363)",1.7225207594284846,-0.1257710511254616
while,"(553517, 842255)","(160935, 879874.0374541243)","(392582, 826226.3835079885)",1.6900732938985001,-0.03245406745131729
state,"(412134, 840591)","(107225, 828524.4835327474)","(304909, 845732.2683028904)",1.985016599643477,0.010384223144410232
later,"(610335, 805097)","(54384, 245786.37023962423)","(555951, 1043406.5419511227)",1.5923579408177888,0.9249988048600053
percent,"(277568, 801430)","(41776, 396749.1052200561)","(235792, 973855.3277873446)",2.380298013120353,0.6214068502090315
much,"(501291, 800181)","(142890, 819691.7711876481)","(358401, 791867.9040253471)",1.7891788000211617,-0.017566695619795736
again,"(621155, 798435)","(84014, 413567.74089043273)","(537141, 962418.188143017)",1.5747853079247762,0.580724837005999
must,"(611229, 787044)","(79822, 465566.6112934123)","(531407, 924018.2056987765)",1.5908942455968258,0.45608653997256665
me,"(348119, 786508)","(110262, 901539.117791308)","(237857, 737495.8562423948)",2.153820316856361,-0.11076010444704876
made,"(524346, 780916)","(128599, 658410.259337212)","(395747, 833112.9106080456)",1.74421388684838,0.13189710658909126
back,"(476751, 775167)","(134290, 752115.9992105524)","(342461, 784988.507311602)",1.839371126010199,0.02184987167703678
did,"(466534, 774142)","(113093, 658105.6830494499)","(353441, 823582.4362635268)",1.8610345212384716,0.12506379388877154
well,"(503572, 772461)","(169758, 971558.1940548463)","(333814, 687630.2126085791)",1.7846388789108747,-0.20356989061517672
be,"(477475, 752012)","(161807, 1003679.2779411359)","(315668, 644782.2951829598)",1.837853668678386,-0.2713389779749322
american,"(377898, 751731)","(93147, 660070.3674551238)","(284751, 790785.5113831969)",2.071740600854794,0.09869374085491844
million,"(315652, 736339)","(69458, 578407.1054209903)","(246194, 803630.1892854985)",2.251724055516054,0.19226931118145507
against,"(415105, 732399)","(114605, 733553.5806179338)","(300500, 731907.0594511081)",1.9778336559383438,-0.001124815269347268
here,"(437466, 722083)","(186741, 1018857.8874466401)","(250725, 595633.9684121237)",1.9253662909829974,-0.34104253982428523
ms,"(206296, 720627)","(6480, 43614.65500909026)","(199816, 1009086.5665545656)",2.6770506847606246,0.9999999995132467
day,"(427060, 719100)","(126527, 777442.6889852271)","(300533, 694241.5067969959)",1.949440705140289,-0.059850744295851244
still,"(460135, 705839)","(117933, 617161.9277945807)","(342202, 743622.2841616007)",1.8748454675164141,0.10209616855846959
unit,"(356317, 704959)","(82706, 595650.8090973645)","(273611, 751532.7347360502)",2.1305439742826557,0.13010837674899856
dont,"(407273, 700671)","(130436, 804834.472930772)","(276837, 656289.3126131443)",1.9968813875891198,-0.11268980205359969
veri,"(415796, 697842)","(146690, 923341.4248075933)","(269106, 601761.822408592)",1.9761704048545579,-0.2610160291025798
should,"(415928, 694022)","(136520, 848231.5734486036)","(279408, 628316.8071114628)",1.975852992627957,-0.17323815575716972
down,"(454988, 693295)","(148280, 792370.2740777406)","(306708, 651081.2784509143)",1.8860943226178568,-0.10807954012785315
three,"(452244, 686147)","(93229, 478844.12924453354)","(359015, 774474.0396560375)",1.8921434970567188,0.29924593897439666
email,"(559752, 679040)","(49054, 310346.50226865825)","(510698, 836131.9161725147)",1.6788719508637355,0.6895483373084321
compani,"(309024, 677799)","(66055, 542376.7346763923)","(242969, 735499.3480750559)",2.272945384640376,0.17617620662644606
see,"(417587, 672277)","(153600, 929781.037748848)","(263987, 562560.3845428912)",1.9718722647321731,-0.31526729609510895
sinc,"(461567, 668976)","(121986, 631055.2923055724)","(339581, 685133.1513221429)",1.871738176782976,0.042820962349142455
say,"(405474, 663281)","(106933, 568342.6999561499)","(298541, 703732.0509781679)",2.00130834581025,0.11854881787178995
know,"(389661, 657469)","(142419, 887672.5292177019)","(247242, 559384.5104795598)",2.041087868399579,-0.28529498074804105
tri,"(557702, 656935)","(45619, 196351.295841323)","(512083, 853179.2437670648)",1.6825410032399892,0.9318924564449211
citi,"(312665, 651590)","(51477, 337895.5948463439)","(261188, 785248.053373356)",2.2612320363122658,0.579671928733337
special,"(556499, 649485)","(40604, 196903.54954990256)","(515895, 842319.6654140031)",1.684700395137702,0.927320649855137
market,"(213728, 645831)","(74575, 1222810.2025133213)","(139153, 399993.2809400524)",2.6416587055950065,-0.7733214902116785
next,"(462181, 636119)","(165351, 740568.8762129804)","(296830, 591615.2826867228)",1.8704088125846696,-0.12522639471702257
dure,"(406035, 629842)","(113602, 618119.1675561185)","(292433, 634836.8323550869)",1.9999257395658872,0.013522186891790522
off,"(413263, 615296)","(108903, 555965.522899622)","(304360, 640575.3672589241)",1.982280951305249,0.07594618585134838
anoth,"(432219, 613715)","(120825, 604168.9041781821)","(311394, 617782.3743742249)",1.9374328474617295,0.011265801789550833
photo,"(377341, 611653)","(24388, 128491.02952950465)","(352953, 817517.3296666035)",2.0732156269709976,0.9906649392940539
trump,"(188369, 611543)","(112633, 729071.9580980064)","(75736, 561466.5832826418)",2.767959448547418,-0.14815819610183023
such,"(386277, 601517)","(140904, 850929.2491402103)","(245373, 495248.1116810575)",2.0498102475675086,-0.344415654290811
home,"(362083, 595126)","(74479, 444045.45161967655)","(287604, 659497.9864535105)",2.1144913357818815,0.23795183622562321
go,"(391059, 593710)","(116331, 625462.4683841397)","(274728, 580180.99519692)",2.0375065641949655,-0.03900377820364809
life,"(330142, 586501)","(94189, 656398.7170411132)","(235953, 556719.1720761622)",2.206841670689171,-0.08928568024303063
address,"(524989, 578522)","(29812, 134870.39661164157)","(495177, 767551.8606244208)",1.7429883509542805,0.981812505555937
part,"(397495, 576201)","(108181, 565588.1253975987)","(289314, 580722.9045566263)",2.0211826939838247,0.01337888422868505
street,"(214592, 574980)","(35721, 188981.21907591616)","(178871, 739445.3038600751)",2.6376243521513922,0.8969509309616814
own,"(375127, 572442)","(110628, 626486.6479891418)","(264499, 549414.8043382263)",2.0791002639217155,-0.07002514623134481
hous,"(275055, 572193)","(69462, 467765.5851512108)","(205593, 616687.1470367132)",2.3893928507154856,0.15785290639269367
long,"(392885, 568843)","(104922, 526732.893258812)","(287963, 586785.1589990249)",2.032848071651874,0.056942811171797336
both,"(393142, 568740)","(108415, 565748.7810219127)","(284727, 570014.4903933775)",2.0321941517366953,0.0037699499368366585
under,"(376306, 568174)","(108652, 597515.0837378422)","(267654, 555672.4313655717)",2.0759622653873566,-0.03763268587670088
around,"(399515, 566822)","(119183, 597210.5074500801)","(280332, 553874.1479377042)",2.016113750680293,-0.03910117937116131
public,"(324889, 564200)","(90729, 586222.332145434)","(234160, 554816.7850081407)",2.22288090107204,-0.028295074143782073
between,"(375899, 546019)","(102765, 537895.1121564651)","(273134, 549480.403892296)",2.0770444144198326,0.010768682994614531
box,"(500158, 537610)","(12353, 59804.0561509036)","(487805, 741192.2485064967)",1.7914415177799743,0.9999774672926807
agre,"(505503, 537184)","(20264, 81271.66394986799)","(485239, 731437.8800317834)",1.7808116142853363,0.9993292411998849
group,"(316259, 531504)","(69660, 410267.60660764837)","(246599, 583160.0705980422)",2.2498029043931207,0.2076430588193281
too,"(351318, 518785)","(96819, 492309.0787573545)","(254499, 530065.7880421869)",2.1446729221667984,0.03832776526133963
sourc,"(439672, 514970)","(378311, 1469018.29376677)","(61361, 108471.71480878908)",1.9203362965782125,-0.9999928594877049
use,"(317613, 510916)","(115641, 716075.5874894348)","(201972, 423502.1646104689)",2.2455307554957775,-0.33230877290960736
same,"(353044, 509142)","(110567, 597571.9826047866)","(242477, 471463.9950990007)",2.139772037255635,-0.13294912014292437
fact,"(416353, 505124)","(302142, 1224219.2862182425)","(114211, 198733.8490541843)",1.9748317053112168,-0.9885832309761656
everi,"(338574, 503420)","(109204, 603988.1666008289)","(229370, 460570.1908916418)",2.1816219311552563,-0.15445010122187253
error,"(487143, 503148)","(6130, 25815.350631963254)","(481013, 706528.5884897049)",1.8178077983369128,0.9999999999929319
busi,"(273622, 500867)","(75630, 504398.41448698647)","(197992, 499362.3445830382)",2.3946163174529103,-0.005042457921863863
10,"(304749, 500358)","(71232, 352926.9366962268)","(233517, 563175.0238429791)",2.2868757960074877,0.28935618420641296
1,"(250240, 500145)","(85225, 514389.1861240162)","(165015, 494075.876171377)",2.4839431101414546,-0.020553977687359337
am,"(231853, 495345)","(72403, 445230.28684899263)","(159450, 516697.73978459)",2.560259700114575,0.0800870884059186
money,"(253298, 494774)","(78688, 606849.8449089228)","(174610, 447021.03082172206)",2.4717969545903866,-0.17689060564769454
famili,"(284212, 493816)","(57558, 355109.1755931593)","(226654, 552915.8240173815)",2.3566436070800068,0.27153036339176384
school,"(230607, 491455)","(42439, 303257.57284580095)","(188168, 571641.6445497588)",2.565648263973137,0.41571606997261723
show,"(269241, 487834)","(73585, 381968.78778316383)","(195656, 532940.759803155)",2.41075696050445,0.19509027685271452
never,"(322023, 482209)","(92524, 496017.5460852704)","(229499, 476325.49248647114)",2.231741487616522,-0.02066785181918185
robot,"(470988, 477534)","(1712, 12946.165725973535)","(469276, 675484.3125648461)",1.851532826348115,1.0
game,"(179525, 477426)","(31512, 226832.35356274003)","(148013, 584198.2548450585)",2.8160475178443165,0.6571219173049532
few,"(337015, 476240)","(98361, 508498.47989916784)","(238654, 462495.3951958615)",2.1862371577128923,-0.049692596126550415
invalid,"(470457, 471638)","(2051, 7557.508327106577)","(468406, 669372.1454182641)",1.8526608772212498,1.0
told,"(310235, 470097)","(89016, 436842.7244629301)","(221219, 484265.8906834307)",2.2690342662596112,0.05422620630899222
law,"(221103, 469943)","(71990, 591748.2162234025)","(149113, 418044.56692732155)",2.6077343840663594,-0.2048189052433903
reenter,"(468484, 469114)","(396, 1462.6355796924597)","(468088, 668369.6131028074)",1.8568634814255611,1.0
timess,"(464244, 467775)","(119, 431.76199034399843)","(464125, 666899.3274452885)",1.8659551353806294,1.0
polic,"(167492, 459774)","(45893, 454688.8867304821)","(121599, 461940.65114079375)",2.885426002332773,0.007974255484487713
end,"(326837, 457810)","(97344, 499910.0979827128)","(229493, 439872.10550538613)",2.216902929294899,-0.0681390782970348
might,"(313190, 455158)","(78301, 400544.59434447536)","(234889, 478427.5303712266)",2.259554336385719,0.09691614694519934
realli,"(293595, 454586)","(107542, 598746.7768575831)","(186053, 393162.3708532283)",2.3241628915748542,-0.25565103075473816
accord,"(307798, 454249)","(99322, 508254.1494705236)","(208476, 431238.63375890744)",2.27692059186477,-0.08905911989182402
each,"(307801, 452841)","(86846, 469291.8135821942)","(220955, 445831.682384893)",2.2769108452919404,-0.02630445552251981
doe,"(322041, 452593)","(118294, 597856.4769395095)","(203747, 390699.5354210895)",2.231685592723921,-0.25906912320731057
countri,"(282627, 451871)","(84276, 495093.7762454646)","(198351, 433454.7578246537)",2.3622360187980047,-0.0709824439180714
littl,"(315038, 450759)","(80074, 392063.31617756304)","(234964, 475767.8962768786)",2.253671123790361,0.10634516515274473
center,"(243906, 449997)","(43143, 229275.6578491828)","(200763, 544041.3452135597)",2.5095805584532913,0.595686920093345
great,"(303872, 443370)","(114842, 602575.7359037346)","(189030, 375536.05589014996)",2.2897577133984104,-0.29340455286332945
whi,"(295529, 443185)","(131767, 717464.5892413167)","(163762, 326320.70348798175)",2.317597209730798,-0.5365686136579717
high,"(290881, 440880)","(86376, 476380.7430050515)","(204505, 425753.94060777477)",2.3334498775593815,-0.05938551278942439
best,"(303180, 440646)","(87426, 439942.03921532194)","(215754, 440945.941683962)",2.2920375774548494,0.0011409480608131073
war,"(200822, 436925)","(64423, 560363.470615219)","(136399, 384330.6743672781)",2.703943639579909,-0.22509077139182398
former,"(282591, 436251)","(53012, 282161.4811780628)","(229579, 501905.04034187057)",2.3623634028251845,0.37083704638307746
without,"(318327, 434799)","(100417, 509084.20352947945)","(217910, 403147.763844448)",2.2432852667632623,-0.13063578062576087
children,"(205942, 433571)","(46564, 361297.76412142324)","(159378, 464364.98248684825)",2.6787681313223186,0.14167525242479617
found,"(291644, 433422)","(83984, 448711.1587091303)","(207660, 426907.6371130442)",2.3308302550055218,-0.025531029964564467
2,"(229478, 429211)","(84829, 477900.2774516885)","(144649, 408465.6059558816)",2.570556041246603,-0.08479043519647278
place,"(301872, 429047)","(88615, 441742.72100450855)","(213257, 423637.6419503955)",2.2963611652115046,-0.02136533923222428
today,"(279914, 428056)","(111106, 568289.1480813785)","(168808, 368305.8441698581)",2.371881578424189,-0.2650114910611404
left,"(289293, 423762)","(66793, 327804.4134441179)","(222500, 464647.3457848005)",2.3389240921430945,0.20574722450278093
big,"(278563, 420840)","(75800, 401662.4897303273)","(202763, 429011.1010750621)",2.3767197285801567,0.034031122084045906
second,"(281256, 419637)","(67395, 346885.615823584)","(213861, 450634.7106046056)",2.3670987219969843,0.1484387868018051
read,"(322306, 419419)","(222433, 954016.6080750565)","(99873, 191639.11467381901)",2.2308630570666352,-0.9632491071961037
team,"(207114, 418817)","(43810, 268569.34596265986)","(163304, 482834.1091119962)",2.6730933682649423,0.37900758794690415
someth,"(294257, 417928)","(101991, 495244.390893259)","(192266, 384985.24383071286)",2.3219106307155575,-0.14222833402593849
offici,"(218848, 415450)","(38542, 213457.7728385957)","(180306, 501514.2951719771)",2.617985568794152,0.5880884784210454
im,"(231970, 414103)","(62580, 382882.51664645)","(169390, 427405.3380776166)",2.5597551994862044,0.05807619597538394
four,"(297754, 412876)","(55828, 263655.9614523886)","(241926, 476455.26551734813)",2.310096563586115,0.3829865468432856
feder,"(201102, 408893)","(60395, 511306.60633249045)","(140707, 365256.890982879)",2.702550348059068,-0.19730553994915645
polit,"(222216, 408347)","(64779, 421299.2928105462)","(157437, 402828.32253767375)",2.602713181220407,-0.02292258715007023
thing,"(269961, 407237)","(88823, 507822.38748017955)","(181138, 364379.8534665122)",2.408086355593295,-0.19432792152716316
univers,"(227939, 404340)","(41866, 250264.64576737824)","(186073, 469988.00513243227)",2.5772851268355383,0.412800284984024
white,"(212660, 402751)","(51275, 341416.6306125601)","(161385, 428884.18019870983)",2.6466682143942766,0.12739899280595446
free,"(215634, 400184)","(89694, 536931.1784105807)","(125940, 341919.1365839487)",2.632780399490933,-0.2776857885270215
inform,"(225181, 400018)","(99049, 641856.0360485188)","(126132, 296976.3116598859)",2.5894585990903907,-0.5231390890395656
man,"(239799, 399123)","(64176, 393827.18105284433)","(175623, 401379.42803909065)",2.526562320886691,0.009587981631807185
health,"(171847, 399114)","(57380, 492265.5678591028)","(114467, 359424.2349797244)",2.8597571966594755,-0.18272213463521525
obama,"(133119, 397884)","(66378, 715074.8368296452)","(66741, 262736.1965900224)",3.1151165830653293,-0.6966813801453592
case,"(241808, 397424)","(73547, 404801.9683887976)","(168261, 394280.41542693815)",2.518219405183065,-0.013341936622077943
power,"(213975, 394976)","(76223, 575568.8560581089)","(137752, 318029.49028447544)",2.6405037037769135,-0.38413254086212
less,"(272555, 390831)","(67848, 326686.51805826597)","(204707, 418161.5052628371)",2.3985234664039963,0.13909659360843984
2016,"(183476, 389893)","(31440, 205505.31943505042)","(152036, 468456.3981526308)",2.794278243160592,0.564740943472108
ago,"(271319, 389252)","(60067, 263773.106178451)","(211252, 442715.70356658177)",2.4030686278866833,0.326761175983854
though,"(287245, 388248)","(64188, 291379.0976230812)","(223057, 429521.63673499593)",2.3460285726893075,0.23270694994915853
among,"(287104, 384779)","(57300, 260252.07041223478)","(229804, 437837.09325196274)",2.346519561657174,0.3285294485839385
put,"(288725, 381292)","(83150, 388833.4687304161)","(205575, 378078.75164898235)",2.3408894226882686,-0.014221894121588696
court,"(165947, 377110)","(34710, 300452.7934046516)","(131237, 409771.89272822626)",2.894693075353741,0.17994313396866213
sever,"(286617, 374546)","(70045, 313221.568545445)","(216572, 400674.9458714725)",2.3482172454358223,0.13870316349678657
set,"(276248, 373823)","(69754, 324929.3471673311)","(206494, 394655.47374694544)",2.3850649311144156,0.10688444990878332
look,"(268167, 373390)","(91515, 445939.849189713)","(176652, 342478.1588708036)",2.414753914136955,-0.1499102255149144
better,"(270874, 372794)","(81821, 389626.7058754667)","(189053, 365621.96676204953)",2.404710104101984,-0.03281547920065453
dr,"(122169, 363810)","(29688, 231447.85576959563)","(92481, 420206.5000570972)",3.200954042048963,0.38658429833277386
