,idf_weight,fakeness_score
do,1.2858848184772718,0.5657300209592928
befor,0.9367663608445521,0.15309202460710902
just,1.2072574178975164,0.6722405766019031
now,1.19251767071197,0.6538707030448518
my,1.653719836790099,0.589104176663636
last,1.1859088121760413,0.9794898030225925
could,1.2913919116481973,0.874228194236236
news,1.1326148041902342,-0.03268914888482766
most,1.2352532742544546,0.7974912611742215
mani,1.2845489591543535,0.7690904524035307
onli,1.241434736546105,0.704141022344239
year,1.3537310645579688,0.9461200880852332
becaus,1.3219881296213805,0.8075944697519437
sign,1.428638711656918,0.9999999999999996
how,1.3660267136376745,0.5876681413240474
even,1.3457892828575355,0.7389477709425543
him,1.6136482192140793,0.9739412970587717
through,1.5025056435338748,0.9426014208811411
may,1.3930672659119803,0.6581324463992455
newslett,1.5445282469390937,1.0
these,1.4975238436069018,0.2898684624124228
those,1.421104565722782,0.6994766353932693
where,1.398005938045345,0.8661391822866065
world,1.566219799818772,0.5059294601949464
then,1.4630312586573448,0.6875665382848664
think,1.3516321930317552,0.20628728413983954
presid,1.6540525957480905,0.8997195092521799
ani,1.4756113064006033,0.503577849689927
make,1.4332209346763638,0.6840823167771137
while,1.4007734691463796,0.7904651835745977
state,1.6957167748913562,0.8365502527524404
later,1.303058116065668,0.9999963703486823
percent,2.0909981883682325,0.9985401140840198
much,1.499878975269041,0.8068497771074938
again,1.2854854831726557,0.99776339439441
must,1.3015944208447052,0.9929753022636292
me,1.8645204921042404,0.7013959326299535
made,1.4549140620962593,0.9245041715259414
back,1.5500713012580785,0.8477175590304487
did,1.571734696486351,0.9210490841170624
well,1.4953390541587541,0.594984138395749
be,1.5485538439262654,0.5196888456754971
american,1.7824407761026735,0.9063064415635309
million,1.962424230763933,0.9495240501502096
against,1.688533831186223,0.8246008625125061
here,1.6360664662308766,0.44551884713947243
ms,2.387750860008504,1.0
day,1.6601408803881685,0.7597195321779395
still,1.5855456427642933,0.908341390499023
unit,1.8412441495305352,0.9236134480009788
dont,1.707581562836999,0.6991709435945119
veri,1.686870580102437,0.5309694731853298
should,1.6865531678758363,0.6294930908660965
down,1.596794497865736,0.7044859987124945
three,1.6028436723045982,0.9761597785671885
email,1.389572126111615,0.9993454447181989
compani,1.9836455598882552,0.9437322304386833
see,1.6825724399800523,0.472529769218373
sinc,1.5824383520308556,0.8663617837679967
say,1.7120085210581297,0.9176200579812372
know,1.7517880436474582,0.5045559589926301
tri,1.3932411784878684,0.9999974033793013
citi,1.9719322115601452,0.9977395127960591
special,1.3954005703855814,0.999996746387199
market,2.352358880842886,0.04780236002699545
next,1.581108987832549,0.6847106014220234
dure,1.7106259148137666,0.8396782630081037
off,1.6929811265531285,0.8915975760878252
anoth,1.6481330227096087,0.8374345847285065
photo,1.783915802218877,0.9999999969809341
trump,2.4786596237952976,0.6582794102304517
