,freq,fake,reliable,idf_weight,fakeness_score

that,"(117, 1264)","(54.31702248252409, 1254.0663149512243)","(54.94505494505494, 1984.012987012987)",4.438808648772866,0.2830843213036607

for,"(135, 959)","(62.81881730587568, 957.0239299223571)","(54.94505494505494, 1102.2294372294373)",4.296950462318763,0.07571784790527047

are,"(142, 772)","(66.12507084829019, 776.5681465259804)","(54.94505494505494, 440.8917748917749)",4.246796685413778,-0.36329688867282073

it,"(97, 736)","(44.8705837899112, 739.0576746963965)","(54.94505494505494, 514.3737373737374)",4.624353005404865,-0.2149976312611136

you,"(81, 710)","(37.3134328358209, 709.6575751542903)","(54.94505494505494, 734.8196248196248)",4.8024023555178,0.017726446383680594

thi,"(117, 708)","(54.31702248252409, 712.6989647620943)","(54.94505494505494, 367.4098124098124)",4.438808648772866,-0.4381156657452634

with,"(122, 699)","(56.67863215567731, 696.4782201871391)","(54.94505494505494, 881.7835497835498)",4.397343338785775,0.13225100822201297

as,"(111, 627)","(51.95541280937087, 626.5262592076448)","(27.47252747252747, 661.3376623376623)",4.490949041898069,0.02777413522125305

on,"(122, 597)","(56.67863215567731, 598.1399562014732)","(54.94505494505494, 514.3737373737374)",4.397343338785775,-0.08124596590978705

i,"(61, 581)","(27.86699414320801, 577.8640254827792)","(54.94505494505494, 808.3015873015873)",5.08159438303675,0.1967864731097475

be,"(102, 510)","(47.70451539769507, 512.9810471829584)","(27.47252747252747, 293.92784992784993)",4.574640980953268,-0.3562907857179509

have,"(99, 500)","(45.81522765917249, 503.85687835954604)","(54.94505494505494, 220.44588744588745)",4.604170685655008,-0.5668118890543271

wa,"(90, 484)","(41.56433024749669, 482.56715110491734)","(54.94505494505494, 587.8556998556999)",4.69838256771027,0.10866140024660198

by,"(105, 458)","(48.17683733232571, 452.15325502687637)","(82.41758241758241, 881.7835497835498)",4.545958326356246,0.44230570062141816

at,"(107, 445)","(49.121481201587, 443.02908620346403)","(82.41758241758241, 587.8556998556999)",4.5272836473310205,0.16201026243193395

from,"(104, 431)","(48.17683733232571, 429.84973123631295)","(54.94505494505494, 514.3737373737374)",4.555428094093277,0.09800251117042835

or,"(85, 404)","(39.20272057434347, 405.51861437388015)","(54.94505494505494, 293.92784992784993)",4.754830960542498,-0.18757910235021646

not,"(89, 392)","(41.09200831286605, 394.36685247859845)","(54.94505494505494, 220.44588744588745)",4.709420207361891,-0.3752120164799736

we,"(78, 339)","(35.896467031928964, 335.5666533943858)","(54.94505494505494, 587.8556998556999)",4.839627497202574,0.35915459273328043

your,"(79, 329)","(36.841110901190255, 328.4700776428429)","(27.47252747252747, 367.4098124098124)",4.827064517901869,0.059205079980149344

but,"(82, 317)","(37.3134328358209, 316.3045192116265)","(82.41758241758241, 367.4098124098124)",4.79029567011478,0.08060967350490755

all,"(84, 314)","(39.20272057434347, 316.3045192116265)","(27.47252747252747, 146.96392496392497)",4.766513336396854,-0.5198468022520295

ha,"(88, 311)","(41.09200831286605, 311.235536531953)","(27.47252747252747, 293.92784992784993)",4.720581037499419,-0.029433562302162763

they,"(78, 308)","(35.896467031928964, 306.1665538522795)","(54.94505494505494, 440.8917748917749)",4.839627497202574,0.21653664234839343

