,idf_weight,fakeness_score
how,-1.117440585249089,-0.03870035332225241
mani,-1.1879104933174796,-0.010218086641772928
think,-1.5227508464863226,-0.4414788358596229
over,-1.1366207288538157,-0.07030864763562306
said,-0.9275154978145835,0.5529754113636862
now,-1.0914601060109768,-0.07800494609627096
onli,-1.1186175098198534,-0.0032605952500680546
ani,-1.027409834994259,-0.11488712495170794
most,-1.054388681885946,-0.19340347718314554
first,-1.1592745568347353,-0.10159363498210083
even,-1.0062118713957768,0.0189450438345391
may,-0.9372769721495392,-0.20777341992280596
becaus,-0.9552883432190017,0.019875153571028426
fact,-1.4770989514374577,-0.8066668849684095
world,-0.8142225682502966,-0.13359357494670399
those,-0.9297280454374804,0.1130008474241393
after,-0.9931110223646353,0.18717228039046363
could,-0.9011446062267382,-0.04574632683503799
be,-0.9331950454669223,-0.07227005937183573
see,-0.8505867318298189,-0.135192335356076
me,-0.5919004140436163,-0.04461152272206503
veri,-0.8226040335103806,-0.2856904117232546
stori,-1.3540862024308464,-0.5715570846068969
make,-0.9277527907775878,-0.21688838448439474
then,-0.8455334475831523,-0.10992603185535355
know,-0.8126265543985938,-0.059409212838785086
her,-0.22379933624026363,0.5605361629836043
such,-0.8398501952520463,0.0353357764889628
add,-1.300033611429996,-0.9999999896165938
through,-0.8011132986854298,-0.1277906298686421
well,-0.8607864785677585,-0.2905804259253649
use,-0.7000334159228981,-0.6467901380589641
where,-0.8118275912326796,-0.08910735656668023
should,-0.7434695037074538,0.049706126099343884
much,-0.7662210467818169,-0.08794417276020572
state,-0.4969011263638888,0.2420925301220016
dont,-0.6774343785152779,-0.06803327082145283
reader,-1.261076883356442,-0.9999999999999991
befor,-0.8015620269969459,-0.008058483765692515
day,-0.6596007382392661,-0.2217186323960959
year,-0.6107542131885106,-0.12793638361417403
here,-0.7453695432298711,-0.19188759372302944
she,-0.08876151127745789,0.5216127090697928
while,-0.7704877792846075,0.07845338214779196
life,-0.47574958955218094,0.4039701979407573
news,-0.649832498540647,0.04277707930780417
back,-0.6631105641834063,-0.018482556862286503
down,-0.6412326406077452,-0.11619351870706118
centsheadlin,-1.1989461920516447,-1.0
against,-0.4792234953546787,0.3206230717582279
him,-0.2643776209198636,0.365042370117868
made,-0.7027112982285405,0.043208884107968526
last,-0.6636256776227731,0.09071482631026617
inform,-0.5571097934095859,-0.3564043867784561
global,0.030438589140567053,-0.7798469768949842
own,-0.5735863155009776,-0.03150185667660166
help,-0.7338187637689864,-0.15286468632735695
go,-0.5914576961915358,-0.06260871373958798
did,-0.4849045569345899,0.20017609062294062
everi,-0.5474390948618081,-0.11179138135735944
food,0.02920226580821295,-0.999347197679126
american,-0.2890960722826627,0.365770830030558
same,-0.5507883692374911,-0.04321238481539125
still,-0.5631637721034887,0.004494906239209895
presid,-0.1973907769508869,0.7791332712020278
unit,-0.2361940222584443,0.4057206983116335
war,0.05994110546696643,0.5362087192007341
around,-0.5826736155152961,-0.11661445001316195
someth,-0.6562860813268113,-0.3313894475818666
under,-0.5158251055042524,-0.043095187431233306
whi,-0.4878558262770696,-0.06280793431257903
god,0.3912368120975332,0.7515789229132306
between,-0.5514799242263828,0.0852493529809275
dure,-0.49981725338635397,0.12381618153753204
thing,-0.39798385989350266,-0.1640167239789333
part,-0.5409396116692761,0.09498529181269655
great,-0.4163522937052221,-0.1248966412795075
sinc,-0.5235562444448066,0.0443225834276717
law,-0.09132041307770056,6.927020051694655e-05
doe,-0.4956835591559658,-0.044758676623088745
public,-0.2844418285268287,0.11062876786455478
anoth,-0.5408231646990945,0.016314228012596077
system,-0.16434426256329235,-0.6734868655876646
say,-0.4696410635267281,0.07824898062583685
long,-0.485889281475949,-0.21514104772222054
off,-0.48243849484709783,-0.1579722240762843
end,-0.4969011263638888,-0.24224439704211576
both,-0.4761223715039109,0.007814089524254442
without,-0.4983602528493461,-0.16061513997124766
power,-0.13279862421531652,-0.04132308763362136
research,-0.038855261768673384,-0.6618342263188529
never,-0.4134465051830861,0.18578429752039471
few,-0.4418741799923283,-0.3836267857525205
realli,-0.3659062044415842,0.0018574293633830674
water,0.27730938855799186,-0.9675837487269228
each,-0.3724045819816737,-0.2959754155110009
money,-0.029578219528755903,-0.38469469342014495
media,-0.18100402256011766,0.1948215225368728
post,-0.5248586979774176,0.38607644557009047
health,0.10979254482775447,-0.20243074158140262
found,-0.3275900493851985,-0.05033833851187541
must,-0.2387176430990539,0.00031923221021878945
high,-0.2730911406467374,-0.19674207145995715
too,-0.3516563719462529,0.048207001453567155
am,-0.12823489089018875,-0.2818646854428887
free,-0.3154091009323095,-0.39481057194475033
find,-0.3871789304208468,-0.1604743134969765
might,-0.25914369939523924,0.15723941434748734
place,-0.2908919153896279,-0.16820658909490283
keep,-0.2787069159614967,-0.34605395838197306
three,-0.30808745922843117,-0.23979028778243638
compani,0.09869389812762036,-0.8184719123565403
feder,0.19574727983245033,-0.4854208406608186
obama,0.4218689179338412,-0.021701755328346728
hous,0.01997824271566478,0.32357089511856985
next,-0.31438729253464304,-0.291753165562063
look,-0.28429133037767185,-0.23386883005604664
million,0.08531826565733809,-0.155462816973701
countri,-0.12453353302656037,0.23109911632588598
industri,0.35151684128110894,-0.9725446937225041
today,-0.2555875078807492,-0.05834563595311615
best,-0.24107776755036192,-0.15187301273037457
militari,0.3357245162337882,0.11848895200693499
accord,-0.22299954094521435,0.2697142706699196
man,0.053590668173076166,0.02353052069816397
put,-0.25821721579721174,0.046835885500131846
becom,-0.22411907533588782,-0.026014117592984998
control,-0.022563518408751513,-0.3224569088541306
real,-0.1472296417444122,-0.2932315207421714
north,0.2930028694862741,-0.4900087011266253
order,-0.11191697502707193,-0.25080411650037693
littl,-0.20165021557565146,-0.12453448749714169
busi,-0.02607701971011857,-0.8030318198123293
big,-0.14325149895825784,-0.4262694827239114
earth,0.3603674672051317,-0.7367524109290776
howev,-0.22762947449849627,0.12523585490634814
china,0.5419379654586168,-0.9105017393264703
alway,-0.19870330687631707,-0.10687081416388311
told,-0.12647404804822332,0.6316235054237085
number,-0.12735485704009528,-0.21788865073797303
alreadi,-0.18583205444707815,-0.15939341762001924
case,-0.09259741266746586,0.3379615816408985
group,0.009222395862142872,0.22172107982122813
import,-0.1793337644510496,-0.08402779983061581
home,-0.017270011164954076,0.10349043526062296
1,-0.010761882644030715,-0.5778128277351247
love,0.23595020758365787,0.23246306610377698
polic,0.5151348953540892,-0.16248596883348132
major,-0.08747960068913639,-0.1622621084900696
famili,0.10400587803825419,0.33115201547655393
within,-0.07308316150033495,-0.09282366250948515
better,-0.1778281431816151,-0.24675596015779422
percent,0.48968402401261535,0.521506861370753
polit,0.12463394966814256,0.3857724596406533
chang,-0.033647519412218024,-0.0660346629739057
data,0.26498168693100527,-0.8842916713494926
growth,0.42829370904818576,-0.998695711216787
