,freq,fake,reliable,idf_weight,fakeness_score
that,"(117, 1264)","(1.3554287869501676, 1253.9956716832785)","(1.36986301369863, 1992.1473988439304)",0.7499291946589299,0.2861059711325362
for,"(135, 959)","(1.5675828579510633, 956.9700194575706)","(1.36986301369863, 1106.7485549132948)",0.6080710082048262,0.07809728961107587
are,"(142, 772)","(1.650087218895856, 776.5244013818847)","(1.36986301369863, 442.6994219653179)",0.5579172312998413,-0.36012841834969633
it,"(97, 736)","(1.1197020413936165, 739.0160425683994)","(1.36986301369863, 516.4826589595375)",0.9354735512909291,-0.21215955903202532
you,"(81, 710)","(0.9311206449483759, 709.6175991740461)","(1.36986301369863, 737.8323699421965)",1.113522901403864,0.019877645599881477
thi,"(117, 708)","(1.3554287869501676, 712.6588174562205)","(1.36986301369863, 368.91618497109823)",0.7499291946589299,-0.43486584526954875
with,"(122, 699)","(1.4143604733393051, 696.4389866179566)","(1.36986301369863, 885.3988439306358)",0.7084638846718385,0.13483530054355852
as,"(111, 627)","(1.2964971005610297, 626.4909661279435)","(0.684931506849315, 664.0491329479769)",0.8020695877841322,0.02996605233960703
on,"(122, 597)","(1.4143604733393051, 598.1062621609817)","(1.36986301369863, 516.4826589595375)",0.7084638846718385,-0.07885467228090559
i,"(61, 581)","(0.695393899391825, 577.8314736131518)","(1.36986301369863, 811.6156069364162)",1.3927149289228133,0.19957932763798136
be,"(102, 510)","(1.1904200650605818, 512.9521502600961)","(0.684931506849315, 295.1329479768786)",0.8857615268393323,-0.3531331535437138
have,"(99, 500)","(1.1432747159492718, 503.8284954135727)","(1.36986301369863, 221.34971098265896)",0.9152912315410716,-0.563592582037997
wa,"(90, 484)","(1.0371976804488239, 482.5399674383513)","(1.36986301369863, 590.2658959537572)",1.009503113596334,0.11116253267083276
by,"(105, 458)","(1.2022064023384094, 452.1277846166065)","(2.054794520547945, 885.3988439306358)",0.857078872242309,0.4455599593905175
at,"(107, 445)","(1.2257790768940644, 443.004129770083)","(2.054794520547945, 590.2658959537572)",0.8384041932170839,0.16469433666871747
from,"(104, 431)","(1.2022064023384094, 429.82551721399363)","(1.36986301369863, 516.4826589595375)",0.866548639979341,0.10046495600860794
or,"(85, 404)","(0.9782659940596861, 405.49577095659777)","(1.36986301369863, 295.1329479768786)",1.0659515064285614,-0.18482267711972777
not,"(89, 392)","(1.0254113431709964, 394.34463725529133)","(1.36986301369863, 221.34971098265896)",1.0205407532479542,-0.37202632635442456
we,"(78, 339)","(0.8957616331148933, 335.54775046658466)","(1.36986301369863, 590.2658959537572)",1.1507480430886383,0.3623215856550117
your,"(79, 329)","(0.9193343076705484, 328.45157447484416)","(0.684931506849315, 368.91618497109823)",1.138185063787933,0.061521257588178946
but,"(82, 317)","(0.9311206449483759, 316.28670134614623)","(2.054794520547945, 368.91618497109823)",1.101416216000844,0.08300757445726803
all,"(84, 314)","(0.9782659940596861, 316.28670134614623)","(0.684931506849315, 147.5664739884393)",1.0776338822829181,-0.5165885906869089
ha,"(88, 311)","(1.0254113431709964, 311.2180042091888)","(0.684931506849315, 295.1329479768786)",1.0317015833854828,-0.02724378281818629
they,"(78, 308)","(0.8957616331148933, 306.1493070722313)","(1.36986301369863, 442.6994219653179)",1.1507480430886383,0.2193872532314367
their,"(77, 304)","(0.8957616331148933, 307.1630464996228)","(0.684931506849315, 73.78323699421965)",1.1634708610166062,-0.9188394470529925
an,"(94, 302)","(1.084343029560134, 300.06687050788236)","(1.36986301369863, 442.6994219653179)",0.9665319483109018,0.23329181748902061
about,"(87, 262)","(1.0136250058931686, 264.58599054918005)","(0.684931506849315, 73.78323699421965)",1.0429883849201127,-0.8599089895584051
blockchain,"(130, 260)","(1.5322238461175806, 263.57225112178855)","(0.0, 0.0)",0.6455005270925923,-1.0
will,"(71, 253)","(0.825043609447928, 253.4348568478736)","(0.684931506849315, 221.34971098265896)",1.243406873571343,-0.0723495067039579
us,"(79, 250)","(0.9193343076705484, 251.4073779930906)","(0.684931506849315, 147.5664739884393)",1.138185063787933,-0.3380103242400829
more,"(84, 250)","(0.9664796567818585, 251.4073779930906)","(1.36986301369863, 147.5664739884393)",1.0776338822829181,-0.3380103242400829
which,"(84, 249)","(0.9664796567818585, 249.37989913830762)","(1.36986301369863, 221.34971098265896)",1.0776338822829181,-0.06323204691167938
can,"(81, 248)","(0.9311206449483759, 248.36615971091612)","(1.36986301369863, 221.34971098265896)",1.113522901403864,-0.060950971750955873
who,"(67, 240)","(0.7661119230587903, 241.26998371917566)","(1.36986301369863, 147.5664739884393)",1.3004837047067799,-0.3072409758128406
so,"(68, 239)","(0.7661119230587903, 239.24250486439266)","(2.054794520547945, 221.34971098265896)",1.2859061870886224,-0.04039548347720845
if,"(71, 236)","(0.825043609447928, 237.2150260096097)","(0.684931506849315, 147.5664739884393)",1.243406873571343,-0.29474655267723393
were,"(69, 236)","(0.7896845976144454, 235.1875471548267)","(1.36986301369863, 295.1329479768786)",1.271538123821702,0.12675620791696018
what,"(70, 232)","(0.8132572721701005, 234.1738077274352)","(0.684931506849315, 73.78323699421965)",1.2573735810530513,-0.7957453088516903
been,"(73, 231)","(0.8368299467257556, 228.09137116308622)","(1.36986301369863, 442.6994219653179)",1.2160453855602054,0.4385573102467908
one,"(70, 219)","(0.801470934892273, 214.91275860699682)","(1.36986301369863, 516.4826589595375)",1.2573735810530513,0.6053887418986663
there,"(63, 214)","(0.7307529112253077, 215.9264980343883)","(0.684931506849315, 73.78323699421965)",1.3610165539356223,-0.7457225966956869
he,"(49, 213)","(0.5539578520578945, 200.72040662351588)","(1.36986301369863, 1106.7485549132948)",1.6074399097714271,0.9783257569739581
trump,"(132, 209)","(1.5557965206732356, 211.87154032482232)","(0.0, 0.0)",0.6303601924611805,-1.0
like,"(61, 207)","(0.695393899391825, 207.81658261525635)","(1.36986301369863, 147.5664739884393)",1.3927149289228133,-0.20135619158009554
would,"(56, 205)","(0.6364622130026873, 205.78910376047335)","(1.36986301369863, 147.5664739884393)",1.4766568012002819,-0.19475597974904635
these,"(75, 197)","(0.8721889585592382, 196.66544891394992)","(0.684931506849315, 221.34971098265896)",1.1894126529946063,0.0626747284571274
peopl,"(53, 184)","(0.6128895384470322, 183.48683635786048)","(0.684931506849315, 221.34971098265896)",1.5306267320098106,0.10281143677127491
no,"(63, 183)","(0.7425392485031352, 185.51431521264348)","(0.0, 0.0)",1.3610165539356223,-1.0
up,"(60, 179)","(0.6836075621139975, 176.39066036612002)","(1.36986301369863, 368.91618497109823)",1.4089490516846968,0.49731773811543967
do,"(60, 179)","(0.6836075621139975, 177.40439979351152)","(1.36986301369863, 295.1329479768786)",1.4089490516846968,0.32014478804825997
my,"(40, 178)","(0.4596671538352742, 176.39066036612002)","(0.684931506849315, 295.1329479768786)",1.8054527963600575,0.3244287400761121
also,"(78, 177)","(0.9075479703927208, 178.41813922090302)","(0.684931506849315, 73.78323699421965)",1.1507480430886383,-0.6100930783999718
hi,"(47, 169)","(0.542171514780067, 163.21204781003058)","(0.684931506849315, 590.2658959537572)",1.648178740750531,0.8638393490687999
some,"(71, 168)","(0.825043609447928, 169.29448437437955)","(0.684931506849315, 73.78323699421965)",1.243406873571343,-0.5698104977182309
our,"(62, 159)","(0.7071802366696526, 158.14335067307312)","(1.36986301369863, 221.34971098265896)",1.376740148315079,0.19722041174923244
time,"(64, 158)","(0.7425392485031352, 158.14335067307312)","(0.684931506849315, 147.5664739884393)",1.345536368647723,-0.035822333580892485
just,"(59, 158)","(0.6718212248361699, 157.12961124568162)","(1.36986301369863, 221.34971098265896)",1.4254510763210846,0.20155599232211396
into,"(60, 155)","(0.6836075621139975, 153.07465353611565)","(1.36986301369863, 295.1329479768786)",1.4089490516846968,0.43335201280499547
had,"(47, 153)","(0.5303851775022395, 152.06091410872415)","(1.36986301369863, 221.34971098265896)",1.648178740750531,0.2239704588408553
when,"(60, 152)","(0.6718212248361699, 150.03343525394118)","(2.054794520547945, 295.1329479768786)",1.4089490516846968,0.4490879713086986
veri,"(46, 146)","(0.542171514780067, 148.00595639915818)","(0.0, 0.0)",1.6691879168398742,-1.0
bitcoin,"(131, 143)","(1.544010183395408, 144.96473811698368)","(0.0, 0.0)",0.6379017063339668,-1.0
over,"(62, 142)","(0.7307529112253077, 143.9509986895922)","(0.0, 0.0)",1.376740148315079,-1.0
out,"(66, 141)","(0.7778982603366178, 142.9372592622007)","(0.0, 0.0)",1.3152768738846103,-1.0
stock,"(132, 140)","(1.5557965206732356, 141.9235198348092)","(0.0, 0.0)",0.6303601924611805,-1.0
think,"(72, 140)","(0.825043609447928, 138.88230155263471)","(1.36986301369863, 221.34971098265896)",1.2296325511065136,0.28847015813183274
new,"(64, 139)","(0.7307529112253077, 134.82734384306875)","(1.36986301369863, 442.6994219653179)",1.345536368647723,0.8149948590309697
how,"(66, 139)","(0.7661119230587903, 139.8960409800262)","(0.684931506849315, 73.78323699421965)",1.3152768738846103,-0.4202704876725044
mani,"(62, 135)","(0.7189665739474801, 134.82734384306875)","(0.684931506849315, 147.5664739884393)",1.376740148315079,0.04720726890526428
could,"(52, 134)","(0.6011032011692047, 133.81360441567725)","(0.684931506849315, 147.5664739884393)",1.5492839896143533,0.05134297247175379
now,"(57, 133)","(0.6718212248361699, 134.82734384306875)","(0.0, 0.0)",1.4592952540043809,-1.0
exceed,"(130, 131)","(1.5322238461175806, 132.79986498828575)","(0.0, 0.0)",0.6455005270925923,-1.0
search,"(130, 130)","(1.5322238461175806, 131.78612556089428)","(0.0, 0.0)",0.6455005270925923,-1.0
ani,"(47, 129)","(0.5539578520578945, 130.77238613350278)","(0.0, 0.0)",1.648178740750531,-1.0
see,"(47, 127)","(0.542171514780067, 126.7174284239368)","(0.684931506849315, 147.5664739884393)",1.648178740750531,0.08208081394631384
me,"(37, 122)","(0.42430814200179157, 120.63499185958783)","(0.684931506849315, 221.34971098265896)",1.8812466357295912,0.39476800180678207
becaus,"(41, 121)","(0.48323982839092927, 122.66247071437081)","(0.0, 0.0)",1.7814131771739108,-1.0
two,"(86, 121)","(0.9900523313375136, 119.62125243219633)","(1.36986301369863, 221.34971098265896)",1.0544040340037895,0.40131101599696284
first,"(57, 118)","(0.6600348875583424, 118.60751300480484)","(0.684931506849315, 73.78323699421965)",1.4592952540043809,-0.29474655267723393
after,"(54, 116)","(0.6128895384470322, 114.55255529523886)","(1.36986301369863, 221.34971098265896)",1.5123112017033777,0.4350826671003134
even,"(50, 116)","(0.5893168638913772, 117.59377357741334)","(0.0, 0.0)",1.5876764206525875,-1.0
onli,"(60, 116)","(0.695393899391825, 116.58003415002185)","(0.684931506849315, 73.78323699421965)",1.4089490516846968,-0.28215052843307675
way,"(49, 115)","(0.565744189335722, 113.53881586784738)","(0.684931506849315, 221.34971098265896)",1.6074399097714271,0.4420497394090708
said,"(52, 115)","(0.5893168638913772, 109.4838581582814)","(1.36986301369863, 516.4826589595375)",1.5492839896143533,0.9525600542353145
than,"(52, 110)","(0.5893168638913772, 109.4838581582814)","(1.36986301369863, 147.5664739884393)",1.5492839896143533,0.17218626828669992
then,"(44, 105)","(0.5068125029465843, 102.38768216654093)","(0.684931506849315, 295.1329479768786)",1.7125786713536137,0.735797052641523
may,"(47, 105)","(0.5539578520578945, 106.44263987610691)","(0.0, 0.0)",1.648178740750531,-1.0
them,"(53, 104)","(0.6128895384470322, 104.41516102132393)","(0.684931506849315, 73.78323699421965)",1.5306267320098106,-0.20464949380957376
most,"(49, 103)","(0.5775305266135496, 104.41516102132393)","(0.0, 0.0)",1.6074399097714271,-1.0
through,"(51, 101)","(0.5775305266135496, 100.36020331175794)","(1.36986301369863, 147.5664739884393)",1.5682959691029252,0.23094190746588028
those,"(45, 95)","(0.5185988402244119, 95.29150617480047)","(0.684931506849315, 73.78323699421965)",1.6906479678596436,-0.1447296588189615
get,"(44, 94)","(0.5185988402244119, 95.29150617480047)","(0.0, 0.0)",1.7125786713536137,-1.0
take,"(45, 93)","(0.5185988402244119, 92.25028789262599)","(0.684931506849315, 147.5664739884393)",1.6906479678596436,0.29114402707514975
