,freq,fake,reliable,idf_weight,fakeness_score

how,"(15284, 32695)","(15147, 32717.844617945593)","(137, 30366.297295447544)",1.1851445077449567,-0.03870035332225241

mani,"(16400, 31716)","(16254, 31722.17193914021)","(146, 31086.853502458165)",1.1146745996765663,-0.010218086641772928

think,"(22923, 31335)","(22842, 31483.856774639127)","(81, 16161.046357238185)",0.779834246507723,-0.4414788358596229

over,"(15580, 31083)","(15446, 31120.325167773066)","(134, 27278.199265402032)",1.16596436414023,-0.07030864763562306

said,"(12640, 30995)","(12450, 30624.50844840852)","(190, 68761.64946901343)",1.3750695951794623,0.5529754113636862

now,"(14892, 30669)","(14767, 30709.3324900106)","(125, 26557.64305839141)",1.211124986983069,-0.07800494609627096

onli,"(15302, 30666)","(15155, 30667.930279228633)","(147, 30469.233896449063)",1.1839675831741925,-0.0032605952500680546

ani,"(13968, 28960)","(13857, 29012.85165796898)","(111, 23572.481629347418)",1.2751752579997866,-0.11488712495170794

most,"(14350, 28431)","(14234, 28508.956458451852)","(116, 20484.383599301902)",1.2481964111080994,-0.19340347718314554

first,"(15937, 28332)","(15807, 28378.690965991515)","(130, 23572.481629347418)",1.1433105361593103,-0.10159363498210083

even,"(13675, 28177)","(13541, 28166.63086198631)","(134, 29233.994684430858)",1.2963732215982688,0.0189450438345391

may,"(12764, 28017)","(12661, 28097.963780689388)","(103, 19763.827392291285)",1.3653081208445066,-0.20777341992280596

becaus,"(12996, 27929)","(12867, 27918.2175972945)","(129, 29028.121482427825)",1.347296749775044,0.019875153571028426

fact,"(21900, 27452)","(21841, 27637.490411992374)","(59, 8543.73788312592)",0.825486141556588,-0.8066668849684095

world,"(11286, 27110)","(11195, 27165.909133085566)","(91, 21410.81300831556)",1.488362524743749,-0.13359357494670399

those,"(12668, 26317)","(12524, 26259.099735958556)","(144, 32219.156113474855)",1.3728570475565653,0.1130008474241393

after,"(13497, 26001)","(13352, 25905.66622928322)","(145, 35719.00054752643)",1.3094740706294103,0.18717228039046363

could,"(12311, 25822)","(12203, 25843.05800810073)","(108, 23675.418230348932)",1.4014404867673074,-0.04574632683503799

be,"(12712, 25187)","(12588, 25217.98560629492)","(124, 22028.43261432466)",1.3693900475271232,-0.07227005937183573

see,"(11704, 24043)","(11614, 24093.05724504827)","(90, 18940.334584279146)",1.4519983611642266,-0.135192335356076

me,"(9036, 23752)","(8938, 23770.927848964177)","(98, 21822.559412321625)",1.7106846789504293,-0.04461152272206503

veri,"(11381, 23613)","(11292, 23698.221527590962)","(89, 14925.80714521998)",1.479981059483665,-0.2856904117232546

stori,"(19365, 23542)","(19315, 23671.96646709508)","(50, 10293.66010015171)",0.9484988905631992,-0.5715570846068969

make,"(12643, 23511)","(12548, 23581.083565378565)","(95, 16366.91955924122)",1.374832302216458,-0.21688838448439474

then,"(11645, 23457)","(11544, 23498.279143814627)","(101, 19249.144387283697)",1.4570516454108933,-0.10992603185535355

know,"(11268, 21977)","(11174, 21999.721075511196)","(94, 19660.890791289767)",1.489958538595452,-0.059409212838785086

her,"(6253, 21142)","(6152, 20884.89081445527)","(101, 47350.836460697865)",2.078785756753782,0.5605361629836043

such,"(11579, 21069)","(11461, 21054.538897659433)","(118, 22543.115619332246)",1.4627348977419994,0.0353357764889628

add,"(18346, 20475)","(18337, 20665.76204031656)","(9, 1029.366010015171)",1.0025514815640497,-0.9999999896165938

through,"(11139, 20403)","(11049, 20443.603836120634)","(90, 16263.982958239703)",1.5014717943086158,-0.1277906298686421

