,freq,fake,reliable,idf_weight,fakeness_score

of,"(43874, 705826)","(43595, 705860.3768579791)","(279, 702209.4761572208)",0.13067604444243436,-0.0025995750560896536

and,"(41669, 693452)","(41399, 694057.2385823962)","(270, 629779.5211149908)",0.1822391601886481,-0.050987666964588785

to,"(41422, 677718)","(41147, 677124.8028745315)","(275, 740123.690160265)",0.18818430919033077,0.04648587820624184

a,"(39708, 488810)","(39433, 488615.80332332413)","(275, 509239.93317814183)",0.23044262485811853,0.02110151597795551

in,"(40013, 437071)","(39736, 436485.94894316414)","(277, 498619.7051660847)",0.22279111342773864,0.07105503381770495

is,"(42202, 341332)","(41940, 342084.0613649403)","(262, 262213.4296176918)",0.16952932736857287,-0.1511340608524162

that,"(34200, 302397)","(33933, 301333.352951456)","(267, 414295.09475035063)",0.3797651981341387,0.18527188636315572

for,"(36346, 229134)","(36092, 229019.44565631083)","(254, 241185.3781538186)",0.3189085845486736,0.026554671634812177

are,"(41675, 199371)","(41430, 200012.31469406298)","(245, 131903.2319097502)",0.18209518241856715,-0.2525907707049194

on,"(35933, 180699)","(35675, 180525.83007778015)","(258, 198916.870665831)",0.33033630004191405,0.050893412717226694

it,"(29904, 170799)","(29665, 171065.754061659)","(239, 142735.86448204852)",0.5139939710147956,-0.09891436074463611

with,"(35187, 162399)","(34934, 162376.94024555033)","(253, 164719.73646700688)",0.3513150481638431,0.007213941760752185

thi,"(36668, 162365)","(36434, 162987.6910714764)","(234, 96856.4794699615)",0.3100885668694447,-0.3287156666845956

as,"(30414, 152306)","(30168, 152145.60202941677)","(246, 169180.2322320709)",0.4970838098094933,0.05592293582947638

you,"(22822, 149446)","(22673, 150089.23933121606)","(149, 81775.75569284029)",0.7842498244710722,-0.394980807245915

by,"(30131, 125147)","(29900, 125219.06189730717)","(231, 117565.924093473)",0.5064319567392875,-0.03253679351924188

have,"(30410, 120980)","(30181, 120988.22435771015)","(229, 120114.77881636673)",0.4972153320813355,-0.0036358627185588688

i,"(17909, 115856)","(17749, 116087.07516784054)","(160, 91546.3654639329)",1.0266582058981932,-0.13323739529252054

wa,"(23212, 113699)","(22984, 113146.38565391877)","(228, 171835.2892350852)",0.7673062309412145,0.25368694155963767

from,"(29386, 108171)","(29163, 108135.20036483272)","(223, 111937.2032470827)",0.5314672028838561,0.017578046956033377

not,"(25721, 104620)","(25482, 104433.34370587251)","(239, 124256.66774106902)",0.6646724608692361,0.09462503098875863

or,"(25461, 103905)","(25268, 104199.13843047606)","(193, 72960.96644283284)",0.6748319333751496,-0.21086320735069042

at,"(29845, 103682)","(29609, 103668.13853884446)","(236, 105140.2573193661)",0.5159688273917482,0.007100031235331095

they,"(21987, 90749)","(21790, 90748.48718313874)","(197, 90802.9495030889)",0.8215216075048365,0.0003000728717690304

we,"(21095, 90673)","(20916, 90592.01383104199)","(179, 99192.92963261408)",0.8629348161532798,0.04743498159436488

will,"(22546, 90323)","(22362, 90603.11839151336)","(184, 60853.90650908765)",0.7964165508537598,-0.23967700688602211

your,"(27178, 86033)","(27097, 86547.93480846369)","(81, 31860.684036171544)",0.6095747098361636,-0.6953418523235366

an,"(26755, 81418)","(26530, 81347.97199136412)","(225, 88785.10618079803)",0.625260520699525,0.04568004699950157

ha,"(25543, 81193)","(25313, 81050.16786963158)","(230, 96219.26578923807)",0.6716166352096733,0.0933062487286751

blockchain,"(39905, 80457)","(39905, 81221.78380418931)","(0, 0.0)",0.225493811012108,-1.0

but,"(23843, 76991)","(23633, 76939.46148422497)","(210, 82412.96937356373)",0.7404861981520671,0.03555523080189271

all,"(23496, 72616)","(23306, 72805.53647237821)","(190, 52676.33093980362)",0.7551459961482836,-0.18877345287193892

their,"(21474, 70774)","(21275, 70658.31827941164)","(199, 82943.98077416659)",0.8451288809912533,0.08671876249361832

he,"(15338, 66415)","(15133, 65868.21469425586)","(205, 123938.0609007073)",1.181617881353612,0.41431003336277716

more,"(24306, 65237)","(24118, 65358.41441806964)","(188, 52463.92637956248)",0.7212545166882607,-0.1222741887475538

can,"(21074, 64822)","(20917, 65060.61029633709)","(157, 39719.65276509386)",0.8639307565930026,-0.3086003753889367

us,"(20610, 61444)","(20442, 61088.20616407408)","(168, 98874.32279225237)",0.886193239800579,0.2997774437952119

hi,"(14818, 57568)","(14629, 57056.241207464554)","(189, 111406.19184647984)",1.2161061161492093,0.4432626678959717

about,"(21665, 57490)","(21470, 57363.13087867369)","(195, 70836.9208404214)",0.8362741783887903,0.11690594926699727

who,"(19651, 57287)","(19430, 56914.91043782877)","(221, 96431.6703494792)",0.9338388025940844,0.3338513566438517

our,"(17103, 56623)","(16959, 56644.36296452598)","(144, 54375.56742173277)",1.0727048045769538,-0.02085924391314542

one,"(21369, 56091)","(21168, 56095.191973941204)","(201, 55649.99478317963)",0.8500302566508555,-0.003999953801934963

trump,"(40261, 55085)","(40204, 55339.07235638975)","(57, 28356.008792192675)",0.21661242562303562,-0.4428663827499041

if,"(19072, 54023)","(18921, 54130.69427600377)","(151, 42693.31660846987)",0.9637440400339168,-0.13315270922617894

what,"(18734, 53389)","(18567, 53365.48910897572)","(167, 55862.39934342077)",0.9816242355933242,0.023390161476706472

which,"(19987, 53167)","(19808, 53191.85416342318)","(179, 50552.28533739218)",0.9168859089569015,-0.02610138462572764

were,"(16938, 50579)","(16768, 50404.60948510599)","(170, 68925.27979825111)",1.082398446305109,0.1816805010945346

been,"(19860, 49655)","(19675, 49604.07162566899)","(185, 55012.781102456196)",0.9232599606309644,0.0544648543339219

peopl,"(16477, 48579)","(16306, 48521.88173245783)","(171, 54587.97198197391)",1.109990778855505,0.06242752321254397

out,"(19994, 47759)","(19833, 47801.09480731531)","(161, 43330.5302891933)",0.9165357618915582,-0.05154106150457449

so,"(17997, 46841)","(17842, 46897.58738714368)","(155, 40887.877846420146)",1.0217568086589166,-0.0733580966429701

there,"(19466, 46695)","(19319, 46709.81936462756)","(147, 45135.969051243024)",0.9432971442358582,-0.01743278034729112

would,"(15754, 45722)","(15589, 45624.60095492419)","(165, 55968.60162354135)",1.1548588830476836,0.11287681002115368

when,"(17913, 44387)","(17742, 44300.12974233739)","(171, 53525.94918076819)",1.0264348931645313,0.10375386059180314

up,"(18678, 43277)","(18524, 43364.318146249)","(154, 34090.93191870355)",0.9846177536596572,-0.13517707069200957

bitcoin,"(39910, 42984)","(39910, 43392.58430017616)","(0, 0.0)",0.22536852473279617,-1.0

stock,"(39929, 42483)","(39928, 42885.812540482126)","(1, 106.20228012057181)",0.22489257997348241,-1.0

also,"(18502, 41671)","(18336, 41659.26336114298)","(166, 42905.72116871101)",0.9940847198141762,0.014959035842554425

my,"(11829, 41667)","(11727, 41775.3564933438)","(102, 30267.64983436297)",1.4413758743882015,-0.18784182168594066

new,"(17205, 41523)","(17064, 41515.913580512395)","(141, 42268.50748798758)",1.0667590333198067,0.009063672620306384

do,"(16093, 40517)","(15927, 40492.27500615033)","(166, 43118.12572895216)",1.133570260227796,0.032412736804773745

search,"(39922, 40247)","(39921, 40628.55824829913)","(1, 106.20228012057181)",0.2250679016892792,-1.0

exceed,"(39915, 40184)","(39914, 40564.959401963024)","(1, 106.20228012057181)",0.22524325414816995,-1.0

